Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate,Rating_Count
Sherlock Holmes Chapter One - Victorian Starter Pack (English/Chinese Ver.),FROGWARES IRELAND LTD,https://store.playstation.com/en-hk/product/EP5205-PPSA01978_00-DLC20SHCO0000000,0.65,38,13.3,14/2/2024 03:59 PM UTC,0,0,"Action, Adventure",28/04/2022,0
Worshippers of the Necronomicon (English/Chinese/Korean/Japanese Ver.),FROGWARES IRELAND LTD,https://store.playstation.com/en-hk/product/JP4860-PPSA02921_00-5256384192541503,0.65,78,27.3,14/2/2024 03:59 PM UTC,0,0,Adventure,18/02/2021,0
DEAD OR ALIVE 5 Last Round full game (English/Chinese/Korean/Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA01207_00-ASIA000000000000,0.5,310,155,14/2/2024 03:59 PM UTC,4.35,136k,Fighting,17/02/2015,136000
Last Round Naotora Ii  (English/Chinese/Korean/Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA01208_00-ASIA000000001263,0.5,226,113,14/2/2024 03:59 PM UTC,4.33,3,Fighting,22/01/2018,0
SAMURAI WARRIORS 4 full game (Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA00771_00-ASIAHGEXEC000000,0.5,497,248.5,14/2/2024 03:59 PM UTC,4.65,3.8k,Action,04/09/2014,3800
SAMURAI WARRIORS 4 full game (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA00919_00-ASIAEC0000000000,0.5,465,232.5,14/2/2024 03:59 PM UTC,4.65,3.8k,Action,22/10/2014,3800
Samurai Warriors 4 Empires (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA03858_00-ASIA000000000000,0.5,387,193.5,14/2/2024 03:59 PM UTC,4.46,1.5k,Action,16/03/2016,1500
Samurai Warriors 4 Empires (Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA02898_00-ASIAEC0000000000,0.5,405,202.5,14/2/2024 03:59 PM UTC,4.46,1.5k,Action,17/09/2015,1500
SAMURAI WARRIORS 4 - II (Chinese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA02540_00-0000000000000001,0.5,438,219,14/2/2024 03:59 PM UTC,4.6,2.1k,Action,25/06/2015,2100
SAMURAI WARRIORS 4 - II full game (Japanese Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/JP0106-CUSA01506_00-ASIA000000000000,0.5,438,219,14/2/2024 03:59 PM UTC,4.6,2.1k,Action,12/02/2015,2100
SAMURAI WARRIORS 4-II (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA02860_00-ASIA000000000001,0.5,387,193.5,14/2/2024 03:59 PM UTC,4.6,2.1k,Action,30/09/2015,2100
SAMURAI WARRIORS 5 (Traditional Chinese),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA24097_00-ORIGINGAME000000,0.5,528,264,14/2/2024 03:59 PM UTC,4.3,1.3k,Action,23/06/2021,1300
SAMURAI WARRIORS 5 (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-CUSA24099_00-ORIGINGAME000000,0.5,528,264,14/2/2024 03:59 PM UTC,4.3,1.3k,Action,26/07/2021,1300
SAMURAI WARRIORS 5 Digital Deluxe Edition (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-CUSA24099_00-SENGOKUMUSOU5DDX,0.5,792,396,14/2/2024 03:59 PM UTC,4.3,1.3k,Action,26/07/2021,1300
